Date,Sales,Company,Score1,Score2,HeatFlux,Insolation,East,South,North,Time,EnergyConsumption,MachineSetting,RestingPulse,Smokes,Weight,Survival,Region,ToxicLevel,Subject,TeachingMethod,Age
1,100,A,4.1,2.1,271.8,783.35,33.53,40.55,16.66,13.2,21.6,11.15,Low,No,140,1,1,62,math,discuss,10
2,200,A,2.2,1.5,264,748.45,36.5,36.19,16.46,14.11,4,15.7,Low,No,145,1,2,46,science,discuss,10
3,130,A,2.7,1.7,238.8,684.45,34.66,37.31,17.66,15.68,1.8,18.9,Low,Yes,160,2,1,48.5,science,discuss,10
4,150,A,6,2.5,230.7,827.8,33.13,32.52,17.5,10.53,1,19.4,Low,Yes,190,3,2,32,math,lecture,10
5,165,A,8.5,3,251.6,860.45,35.75,33.71,16.4,11,1,21.4,Low,No,155,2,1,63.5,math,discuss,10
6,173,A,4.1,2.1,257.9,875.15,34.46,34.14,16.28,11.31,0.8,21.7,Low,No,165,1,1,41.25,science,lecture,10
7,181,A,9,3.2,263.9,909.45,34.6,34.85,16.06,11.96,3.8,25.3,High,No,150,2,2,40,math,discuss,10
8,189,A,8,2.8,266.5,905.55,35.38,35.89,15.93,12.58,7.4,26.4,Low,No,190,3,1,34.25,math,lecture,11
9,197,A,7.5,2.5,229.1,756,35.85,33.53,16.6,10.66,4.3,26.7,Low,No,195,2,1,34.75,arts,lecture,11
1,110,B,,,239.3,769.35,35.68,33.79,16.41,10.85,36.2,29.1,Low,No,138,1,2,46.25,science,discuss,11
2,220,B,,,258,793.5,35.35,34.72,16.17,11.41,,,High,Yes,160,2,1,43.5,arts,lecture,11
3,150,B,,,257.6,801.65,35.04,35.22,15.92,11.91,,,Low,No,155,2,2,46,math,discuss,11
4,170,B,,,267.3,819.65,34.07,36.5,16.04,12.85,,,High,Yes,153,2,1,42.5,science,lecture,11
5,145,B,,,267,808.55,32.2,37.6,16.19,13.58,,,Low,No,145,1,2,53,science,discuss,11
6,183,B,,,259.6,774.95,34.32,37.89,16.62,14.21,,,Low,No,170,1,2,43.5,arts,lecture,11
7,191,B,,,240.4,711.85,31.08,37.71,17.37,15.56,,,Low,No,175,1,1,56,science,lecture,12
8,179,B,,,227.2,694.85,35.73,37,18.12,15.83,,,Low,Yes,175,2,1,40,science,lecture,12
9,201,B,,,196,638.1,34.11,36.76,18.53,16.41,,,Low,Yes,170,1,2,48,science,discuss,12
,,,,,278.7,774.55,34.79,34.62,15.54,13.1,,,Low,Yes,180,2,1,46.5,arts,lecture,12
,,,,,272.3,757.9,35.77,35.4,15.7,13.63,,,Low,No,135,2,2,72,math,discuss,12
,,,,,267.4,753.35,36.44,35.96,16.45,14.51,,,Low,No,170,2,2,31,math,discuss,12
,,,,,254.5,704.7,37.82,36.26,17.62,15.38,,,Low,No,157,1,1,48,arts,lecture,12
,,,,,224.7,666.8,35.07,36.34,18.12,16.1,,,Low,No,130,2,2,36.5,arts,discuss,13
,,,,,181.5,568.55,35.26,35.9,19.05,16.73,,,Low,Yes,185,2,2,43.75,math,discuss,13
,,,,,227.5,653.1,35.56,31.84,16.51,10.58,,,High,No,140,2,1,34.25,arts,lecture,13
,,,,,253.6,704.05,35.73,33.16,16.02,11.28,,,Low,No,120,2,1,41.25,arts,lecture,13
,,,,,263,709.6,36.46,33.83,15.89,11.91,,,Low,Yes,130,2,2,41.75,math,discuss,13
,,,,,265.8,726.9,36.26,34.89,15.83,12.65,,,High,No,138,2,2,45.25,science,discuss,13
,,,,,263.8,697.15,37.2,36.27,16.71,14.06,,,High,Yes,121,2,1,43.5,math,lecture,13
,,,,,,,,,,,,,Low,No,125,2,2,53,arts,lecture,13
,,,,,,,,,,,,,High,No,116,3,1,38,,,
,,,,,,,,,,,,,Low,No,145,2,2,59,,,
,,,,,,,,,,,,,High,Yes,150,2,1,52.5,,,
,,,,,,,,,,,,,Low,Yes,112,2,2,42.75,,,
